V,n,p,neff_re,neff_im,d_neff,d_phi,C_total_pF_cm
0.0,18954887019392.49,21588662369973.402,3.821992449063487,0.1658035517658071,0.0,0.0,0.7575147516908093
0.10416666666666667,18954911871686.863,21588686768045.785,3.8219924434221824,0.1658035523835509,-5.641304756665022e-09,-1.4629031133773905e-05,0.7683784541421331
0.20833333333333334,18954937423767.49,21588711878954.777,3.821992437844775,0.1658035529942987,-1.1218712181459978e-08,-2.9092363710633668e-05,0.8011962651447693
0.3125,18954964392761.887,21588738427674.336,3.821992432363541,0.16580355359451285,-1.6699946314702174e-08,-4.3306299713996746e-05,0.8876261991790243
0.4166666666666667,18954995536871.344,21588769185163.23,3.8219924270263177,0.16580355417896017,-2.2037169422617353e-08,-5.714678633570275e-05,1.283240408126384
0.5208333333333334,18955048202364.11,21588821479669.453,3.821992421802036,0.16580355475103745,-2.7261451318594254e-08,-7.069439381384197e-05,4.636233608327589
0.625,18955297376375.46,21589070201788.484,3.821992416256601,0.16580355535826422,-3.2806886096636845e-08,-8.507481492519069e-05,34.44793944338404
0.7291666666666667,18957288427211.855,21591060569971.07,3.8219924095019793,0.16580355609681938,-3.956150784745205e-08,-0.00010259089961690973,285.14600014305796
0.8333333333333334,18973837044236.188,21607608478758.637,3.8219923985882556,0.165803557233055,-5.047523154999567e-08,-0.00013089236722354575,2057.875775289559
0.9375,19091080187485.055,21724857358815.574,3.821992294098594,0.16580356682365033,-1.5496489291777493e-07,-0.00040185495039205183,6232.251429281882
1.0416666666666667,19379020580219.773,22012813566677.1,3.821991630003124,0.1658036254725285,-8.190603630886528e-07,-0.0021239872811174825,9699.129633247214
1.1458333333333335,19721661199852.67,22355468133352.57,3.821989702490588,0.16580379017880123,-2.7465728993369964e-06,-0.007122412666699054,10662.409713552166
1.25,20072232252147.742,22706050377017.926,3.821985602972098,0.16580412995189897,-6.846091388901243e-06,-0.017753283751347007,10747.446519874824
1.3541666666666667,20420404042141.83,23054231231658.273,3.821978415389606,0.16580470825715515,-1.4033673881197473e-05,-0.036392122210152394,10615.49465308592
1.4583333333333335,20762398081197.33,23396232597396.305,3.821967458356045,0.16580556437424068,-2.4990707442107407e-05,-0.06480590093873083,10394.94282409156
1.5625,21096232119554.61,23730072531892.332,3.821952359803248,0.16580671110028022,-4.008926023901793e-05,-0.10395946708492668,10126.715373534245
1.6666666666666667,21420788452408.363,24054633602356.008,3.821933012422951,0.16580814188086976,-5.943664053598141e-05,-0.1541310924322096,9832.627485242765
1.7708333333333335,21735503197138.97,24369352159061.152,3.8219094929953292,0.16580983907441707,-8.295606815789114e-05,-0.21512167063540907,9526.996894000506
1.875,22040189567962.33,24674041605858.684,3.821881990259659,0.16581177995626903,-0.00011045880382809514,-0.28644176301439617,9219.513603092708
1.9791666666666667,22334913726653.598,24968768253702.38,3.821850752705762,0.16581394032818061,-0.00014169635772498523,-0.36744698577968704,8916.582058269314
2.0833333333333335,22619905314243.727,25253761858927.39,3.821816054212886,0.1658162964851559,-0.00017639485060128024,-0.4574271152847687,8622.257680211938
2.1875,22895494188863.36,25529352368320.516,3.82177817268753,0.1658188262046407,-0.00021427637595694549,-0.5556614844115454,8338.951025944112
2.291666666666667,23162066739125.453,25795926238834.34,3.821737377460966,0.16582150918132604,-0.00025507160252091765,-0.6614516633251406,8067.946922443074
2.3958333333333335,23420036374908.184,26053896933409.363,3.8216939223735897,0.1658243271534286,-0.0002985266898973826,-0.7741393931273828,7809.77650784919
2.5,23669824030523.516,26303685427956.016,3.8216480424573676,0.16582726386124053,-0.00034440660611956275,-0.893115188937073,7683.928633871079
