sim_id,w_r,h_si,doping,S,lambda,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,cost
4.90E+01,4.45E-07,8.00E-08,5.36E+20,5.50E-07,1.35E-06,2.13E-04,,5.34E-01,6.29E+04,,6.85E-02,3.36E+02
5.00E+01,4.61E-07,7.00E-08,7.81E+20,6.42E-07,1.29E-06,3.07E-04,9.45E-01,2.90E-01,4.10E+01,5.44E+03,3.61E+01,1.32E+00
5.10E+01,4.84E-07,7.00E-08,3.59E+20,4.49E-07,1.32E-06,6.99E-04,8.66E-01,6.06E-01,1.67E+01,2.84E+03,7.19E+01,4.66E-01
5.20E+01,4.42E-07,8.00E-08,8.93E+20,4.91E-07,1.30E-06,8.98E-04,,2.25E+00,7.82E+04,,1.77E-02,3.46E+02
5.30E+01,4.51E-07,1.20E-07,6.37E+20,2.08E-07,1.34E-06,2.31E-04,,5.77E-01,6.15E+04,,1.39E-01,3.23E+02
5.40E+01,4.13E-07,9.00E-08,9.63E+20,3.07E-07,1.26E-06,4.53E-04,9.00E-01,4.07E-01,2.63E+01,3.59E+03,5.00E+01,6.35E-01
5.50E+01,3.58E-07,1.20E-07,7.48E+20,4.62E-07,1.30E-06,8.19E-04,,2.05E+00,7.71E+04,,1.76E-03,3.50E+02
5.60E+01,4.72E-07,1.30E-07,5.21E+20,7.32E-07,1.33E-06,6.30E-04,8.86E-01,5.58E-01,1.90E+01,5.17E+03,6.51E+01,4.88E-01
5.70E+01,4.68E-07,1.20E-07,4.96E+20,1.75E-07,1.32E-06,9.93E-04,,2.48E+00,6.81E+04,,1.81E-01,3.15E+02
5.80E+01,4.92E-07,9.00E-08,3.97E+20,9.58E-09,1.32E-06,6.06E-04,8.75E-01,5.30E-01,3.26E+01,2.76E+03,5.66E+01,9.94E-01
5.90E+01,4.07E-07,1.10E-07,7.17E+20,3.24E-08,1.30E-06,1.56E-04,,3.91E-01,7.88E+04,,2.86E-04,3.50E+02
6.00E+01,4.03E-07,1.10E-07,1.93E+20,1.35E-08,1.32E-06,5.11E-04,,1.28E+00,7.15E+04,,4.94E-01,2.59E+02
49,3.73E-07,1.20E-07,7.39E+20,5.60E-07,1.28E-06,6.35E-04,,1.59E+00,7.01E+04,,4.92E-01,2.59E+02
