sim_id,w_r,h_si,doping,S,lambda,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,cost
1.000000e+00,4.211000e-07,7.824000e-08,7.869000e+17,5.759000e-07,1.360000e-06,9.980000e-04,2.154919e+00,2.150610e+00,6.682091e+04,6.598420e+03,3.348776e+08
2.000000e+00,3.971000e-07,1.170000e-07,3.259000e+17,1.922000e-07,1.306000e-06,4.476000e-04,,,,,1.000000e+09
3.000000e+00,4.609000e-07,8.466000e-08,5.574000e+17,7.400000e-07,1.332000e-06,4.620000e-04,,,,,1.000000e+09
4.000000e+00,4.930000e-07,1.028000e-07,9.224000e+17,2.666000e-08,1.288000e-06,7.049000e-04,9.225835e-01,6.503291e-01,1.547076e+01,3.904927e+03,1.824688e+01
5.000000e+00,3.666000e-07,1.287000e-07,2.220000e+17,4.231000e-07,1.261000e-06,1.710000e-04,2.069802e+00,3.539361e-01,1.055287e+04,9.551172e+03,8.352236e+06
6,3.733992e-07,1.219421e-07,7.647139e+17,5.601680e-07,1.284226e-06,6.351647e-04,9.404557e-01,5.973443e-01,1.735968e+01,5.173650e+03,2.285165e+01
7,4.671531e-07,1.017265e-07,1.082815e+17,2.766136e-07,1.261066e-06,7.303725e-04,9.870924e-01,7.209451e-01,1.444465e+01,2.477166e+03,1.601242e+01
8,4.641393e-07,1.005964e-07,3.375267e+17,9.979181e-08,1.317804e-06,9.020197e-04,9.232930e-01,8.328285e-01,1.184709e+01,2.618301e+03,1.101204e+01
