sim_id,w_r,h_si,doping,S,lambda,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,cost
3.300000e+01,4.917000e-07,8.486000e-08,7.522000e+17,3.952000e-08,1.292000e-06,4.103000e-04,,,,,2.551116e+00,1.000000e+09
3.400000e+01,4.410000e-07,7.159000e-08,3.275000e+17,1.375000e-07,1.296000e-06,4.938000e-04,1.027119e+00,5.071916e-01,2.351739e+01,2.560792e+03,2.884862e+01,4.166016e+01
3.500000e+01,3.929000e-07,8.064000e-08,9.291000e+17,1.868000e-07,1.283000e-06,3.010000e-04,,,,,9.998964e-01,1.000000e+09
3.600000e+01,4.798000e-07,8.928000e-08,7.854000e+17,1.775000e-07,1.314000e-06,8.674000e-04,1.941823e+00,1.684338e+00,8.615245e+04,9.070119e+03,6.756964e+00,5.566683e+08
3.700000e+01,4.724000e-07,7.240000e-08,6.708000e+17,5.643000e-07,1.287000e-06,2.415000e-04,,,,,4.820775e-01,1.000000e+09
3.800000e+01,4.592000e-07,8.801000e-08,1.332000e+17,4.336000e-07,1.332000e-06,1.568000e-04,,,,,8.717979e-01,1.000000e+09
3.900000e+01,4.622000e-07,7.620000e-08,3.543000e+17,5.119000e-07,1.336000e-06,8.471000e-04,2.494126e+00,2.112774e+00,7.762881e+04,5.284155e+03,3.160122e+00,4.519675e+08
4.000000e+01,4.667000e-07,1.035000e-07,7.212000e+17,7.075000e-07,1.263000e-06,5.496000e-04,9.752032e-01,5.359717e-01,2.026179e+01,4.210566e+03,4.013093e+01,3.099159e+01
4.100000e+01,4.026000e-07,1.121000e-07,1.850000e+17,6.675000e-08,1.274000e-06,2.938000e-04,1.206451e+00,3.544554e-01,4.260181e+01,4.533690e+03,1.763387e+01,1.362065e+02
4.200000e+01,4.192000e-07,1.042000e-07,9.881000e+17,3.112000e-07,1.357000e-06,7.165000e-04,9.278912e-01,6.648340e-01,1.608082e+01,4.125090e+03,5.614690e+01,1.970386e+01
4.300000e+01,4.762000e-07,8.655000e-08,4.867000e+17,7.055000e-07,1.351000e-06,3.961000e-04,,,,,2.487662e+00,1.000000e+09
4.400000e+01,4.933000e-07,9.403000e-08,2.548000e+17,1.565000e-07,1.326000e-06,6.162000e-04,1.004666e+00,6.190755e-01,1.871157e+01,2.858646e+03,3.633166e+01,2.652750e+01
4.500000e+01,4.312000e-07,9.356000e-08,7.422000e+17,2.103000e-07,1.260000e-06,7.389000e-04,9.206508e-01,6.802688e-01,1.424740e+01,3.181479e+03,5.924566e+01,1.554807e+01
4.600000e+01,4.211000e-07,1.148000e-07,3.219000e+17,1.720000e-07,1.343000e-06,9.185000e-04,1.981202e+00,1.819734e+00,6.989201e+04,9.398887e+03,7.032165e+00,3.663670e+08
4.700000e+01,3.819000e-07,1.253000e-07,6.068000e+17,7.350000e-07,1.281000e-06,5.337000e-04,9.749406e-01,5.203258e-01,2.138651e+01,5.518456e+03,3.813422e+01,3.449322e+01
4.800000e+01,4.168000e-07,1.062000e-07,3.846000e+17,4.664000e-07,1.359000e-06,5.111000e-04,1.028052e+00,5.254376e-01,2.393422e+01,4.046178e+03,3.212239e+01,4.315679e+01
4.900000e+01,3.895000e-07,7.466000e-08,9.745000e+17,4.752000e-07,1.307000e-06,6.810000e-04,,,,,2.226850e+00,1.000000e+09
5.000000e+01,3.825000e-07,1.022000e-07,2.884000e+17,3.905000e-07,1.264000e-06,6.868000e-04,9.684004e-01,6.650974e-01,1.557716e+01,2.924370e+03,4.329224e+01,1.850825e+01
5.100000e+01,4.018000e-07,7.014000e-08,5.050000e+17,5.230000e-07,1.277000e-06,5.684000e-04,9.726950e-01,5.528799e-01,1.967098e+01,2.647442e+03,3.447517e+01,2.923505e+01
5.200000e+01,4.112000e-07,9.948000e-08,1.197000e+17,6.691000e-07,1.312000e-06,8.278000e-04,9.723232e-01,8.048892e-01,1.305356e+01,2.317152e+03,3.768406e+01,1.323315e+01
5.300000e+01,3.582000e-07,8.385000e-08,7.723000e+17,2.277000e-07,1.346000e-06,4.380000e-04,,,,,2.625573e+00,1.000000e+09
5.400000e+01,4.636000e-07,7.779000e-08,8.860000e+17,4.154000e-07,1.338000e-06,4.709000e-04,,,,,2.178463e+00,1.000000e+09
5.500000e+01,4.445000e-07,1.183000e-07,5.493000e+17,7.993000e-07,1.340000e-06,7.484000e-04,1.972100e+00,1.475920e+00,7.085257e+04,1.017081e+04,6.397256e+00,3.765065e+08
5.600000e+01,4.065000e-07,1.151000e-07,1.914000e+17,5.956000e-07,1.297000e-06,1.882000e-04,1.414292e+00,2.661697e-01,7.300262e+01,5.678881e+03,1.031776e+01,3.997532e+02
5.700000e+01,3.798000e-07,9.298000e-08,7.054000e+17,6.867000e-07,1.279000e-06,2.775000e-04,1.147389e+00,3.184005e-01,4.551628e+01,5.126512e+03,1.949846e+01,1.554508e+02
5.800000e+01,4.364000e-07,8.105000e-08,5.750000e+17,9.757000e-08,1.330000e-06,1.052000e-04,,,,,5.645703e-01,1.000000e+09
5.900000e+01,4.262000e-07,1.298000e-07,6.530000e+17,3.573000e-07,1.309000e-06,4.495000e-04,1.494077e+00,6.715877e-01,9.928329e+03,1.199820e+04,1.481995e+01,7.392878e+06
6.000000e+01,3.864000e-07,8.204000e-08,6.597000e+17,1.226000e-07,1.304000e-06,9.055000e-04,2.234621e+00,2.023449e+00,8.956081e+04,7.826664e+03,4.403330e+00,6.015855e+08
61,3.733992e-07,1.219421e-07,7.647139e+17,5.601680e-07,1.284226e-06,6.351647e-04,9.404522e-01,5.973421e-01,1.735965e+01,5.174103e+03,4.856887e+01,2.285159e+01
