sim_id,w_r,h_si,doping,S,lambda,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,cost
44.0,4.933e-07,9.403e-08,2.548e+17,1.565e-07,1.326e-06,0.0006162,1.004666,0.6190755,18.71157,2858.646,36.33166,26.5275
45.0,4.312e-07,9.356e-08,7.422e+17,2.103e-07,1.26e-06,0.0007389,0.9206508,0.6802688,14.2474,3181.479,59.24566,15.54807
46.0,4.211e-07,1.148e-07,3.219e+17,1.72e-07,1.343e-06,0.0009185,1.981202,1.819734,69892.01,9398.887,7.032165,366367000.0
47.0,3.819e-07,1.253e-07,6.068e+17,7.35e-07,1.281e-06,0.0005337,0.9749406,0.5203258,21.38651,5518.456,38.13422,34.49322
48.0,4.168e-07,1.062e-07,3.846e+17,4.664e-07,1.359e-06,0.0005111,1.028052,0.5254376,23.93422,4046.178,32.12239,43.15679
49.0,3.895e-07,7.466e-08,9.745e+17,4.752e-07,1.307e-06,0.000681,,,,,2.22685,1000000000.0
50.0,3.825e-07,1.022e-07,2.884e+17,3.905e-07,1.264e-06,0.0006868,0.9684004,0.6650974,15.57716,2924.37,43.29224,18.50825
51.0,4.018e-07,7.014e-08,5.05e+17,5.23e-07,1.277e-06,0.0005684,0.972695,0.5528799,19.67098,2647.442,34.47517,29.23505
52.0,4.112e-07,9.948e-08,1.197e+17,6.691e-07,1.312e-06,0.0008278,0.9723232,0.8048892,13.05356,2317.152,37.68406,13.23315
53.0,3.582e-07,8.385e-08,7.723e+17,2.277e-07,1.346e-06,0.000438,,,,,2.625573,1000000000.0
54.0,4.636e-07,7.779e-08,8.86e+17,4.154e-07,1.338e-06,0.0004709,,,,,2.178463,1000000000.0
55.0,4.445e-07,1.183e-07,5.493e+17,7.993e-07,1.34e-06,0.0007484,1.9721,1.47592,70852.57,10170.81,6.397256,376506500.0
56.0,4.065e-07,1.151e-07,1.914e+17,5.956e-07,1.297e-06,0.0001882,1.414292,0.2661697,73.00262,5678.881,10.31776,399.7532
57.0,3.798e-07,9.298e-08,7.054e+17,6.867e-07,1.279e-06,0.0002775,1.147389,0.3184005,45.51628,5126.512,19.49846,155.4508
58.0,4.364e-07,8.105e-08,5.75e+17,9.757e-08,1.33e-06,0.0001052,,,,,0.5645703,1000000000.0
59.0,4.262e-07,1.298e-07,6.53e+17,3.573e-07,1.309e-06,0.0004495,1.494077,0.6715877,9928.329,11998.2,14.81995,7392878.0
60.0,3.864e-07,8.204e-08,6.597e+17,1.226e-07,1.304e-06,0.0009055,2.234621,2.023449,89560.81,7826.664,4.40333,601585500.0
61.0,3.733992e-07,1.219421e-07,7.647139e+17,5.60168e-07,1.284226e-06,0.0006351647,0.9404522,0.5973421,17.35965,5174.103,48.56887,22.85159
62.0,4.671531e-07,1.017265e-07,1.082815e+17,2.766136e-07,1.261066e-06,0.0007303725,0.987178,0.7210076,14.44458,2476.009,36.40794,16.01234
63.0,4.641393e-07,1.005964e-07,3.375267e+17,9.979181e-08,1.317804e-06,0.0009020197,0.9232587,0.8327975,11.84725,2619.087,59.66416,11.01229
