V,n,p,neff_re,neff_im,d_neff,d_phi,C_total_pF_cm
0.0,35876289073889.46,45646142156647.98,3.8852725823665746,0.19316765073137754,0.0,0.0,0.5535284115017626
0.10416666666666667,35876307242680.695,45646159975904.78,3.885272575807651,0.1931676514783303,-6.558923626442947e-09,-7.717414090564116e-06,0.5652614717309912
0.20833333333333334,35876326166517.22,45646178565783.016,3.885272569431071,0.19316765220451645,-1.2935503779232249e-08,-1.522027771933848e-05,0.5998601636776428
0.3125,35876346566468.06,45646198652797.92,3.8852725632998135,0.193167652902765,-1.90667610588946e-08,-2.243448755282016e-05,0.6900094960397731
0.4166666666666667,35876371327038.28,45646223128189.914,3.8852725574868736,0.1931676535647639,-2.4879700966096152e-08,-2.9274156209210475e-05,1.1601166843516297
0.5208333333333334,35876422273084.695,45646273797823.6,3.8852725518522866,0.19316765420644957,-3.051428798528377e-08,-3.590396983915981e-05,5.683510589616573
0.625,35876741178000.01,45646592312290.85,3.8852725449104564,0.19316765499700939,-3.745611820704653e-08,-4.407192260381024e-05,44.65697305593494
0.7291666666666667,35879326257302.24,45649176624090.695,3.8852725346766555,0.1931676561624635,-4.768991912484921e-08,-5.6113300717235574e-05,332.2813514270562
0.8333333333333334,35898345670839.0,45668194841855.68,3.885272522076686,0.1931676575967609,-6.028988863704399e-08,-7.093877937688346e-05,1938.505044506664
0.9375,36005360569623.14,45775208912944.445,3.885272502887581,0.1931676597644976,-7.947899360871702e-08,-9.351722021993016e-05,5771.670939094975
1.0416666666666667,36273593901212.57,46043445291296.71,3.8852724536097014,0.19316766525620335,-1.2875687316338258e-07,-0.00015149895986011887,9173.508059011314
1.1458333333333335,36601778828467.734,46371635111139.55,3.8852723677533296,0.19316767472675792,-2.14613244953199e-07,-0.00025251998269138756,10015.74412045726
1.25,36924769976897.19,46694630840015.875,3.8852722523053025,0.19316768725856123,-3.3006127209134206e-07,-0.0003883593798405997,9668.469535139653
1.3541666666666667,37230377000091.07,47000241949732.484,3.8852721025441532,0.19316770310638956,-4.798224213509172e-07,-0.0005645725619632463,9130.495453968171
1.4583333333333335,37518391808999.96,47288260474007.72,3.885271901612559,0.1931677236625061,-6.807540153808134e-07,-0.0008009943292108691,8620.241416050456
1.5625,37790824614594.44,47560696734325.92,3.8852716199656308,0.19316775141526527,-9.624009438269354e-07,-0.0011323880300600725,8174.57797849111
1.6666666666666667,38049864517680.99,47819739906160.45,3.88527121360938,0.19316779003294296,-1.368757194697423e-06,-0.001610518228681922,7792.247154926946
1.7708333333333335,38297439971368.29,48067318491080.01,3.885270622596406,0.19316784442625318,-1.959770168369346e-06,-0.002305920723129853,7464.279710736996
1.875,38535156956801.945,48305038501730.96,3.885269770586728,0.19316792071816108,-2.811779846734197e-06,-0.0033084192841133786,7181.234733417692
1.9791666666666667,38764330133302.83,48534214618028.0,3.885268565815555,0.19316802609807845,-4.016551019780934e-06,-0.004725986945564974,6934.904405741946
2.0833333333333335,38986031853908.4,48755919206437.44,3.885266903431231,0.19316816857208335,-5.678935343755853e-06,-0.0066819951164871555,6718.549006139716
2.1875,39201138596084.055,48971028753032.68,3.8852646688819314,0.1931683566436097,-7.913484643129465e-06,-0.009311228696753495,6526.744111272415
2.291666666666667,39410370044148.336,49180262947424.44,3.8852617418789186,0.19316859896857408,-1.0840487655983111e-05,-0.012755222800214464,6355.15201601277
2.3958333333333335,39614320659360.37,49384216253851.19,3.885258000449856,0.19316890402611925,-1.4581916718547916e-05,-0.0171574935096758,6200.30674576439
2.5,39813484785164.72,49583383017131.91,3.8852533246820182,0.19316927983583992,-1.9257684556350796e-05,-0.022659133512036383,6126.685838392531
