V,n,p,neff_re,neff_im,d_neff,d_phi,C_total_pF_cm
0.0,53695847893223.9,70955256847777.31,2.7126464245865343,1.7320016794370118e-07,0.0,0.0,0.6152013971492086
0.10416666666666667,53695868078144.82,70955276660617.97,2.712646409478364,1.7328575023805136e-07,-1.5108170270394794e-08,-5.700280163883996e-05,0.6272045846556461
0.20833333333333334,53695889036515.26,70955297260800.88,2.712646363582268,1.7354564639988163e-07,-6.100426608313114e-08,-0.0002301677844784356,0.6624980508033053
0.3125,53695911499329.74,70955319385008.19,2.7126462073016206,1.745879581418025e-07,-2.172849136172772e-07,-0.0008198113079456623,0.7529345021268542
0.4166666666666667,53695938313980.04,70955345888493.16,2.7126456327586297,1.7977577714354847e-07,-7.918279045782128e-07,-0.002987549661471395,1.2108056288010534
0.5208333333333334,53695990526901.24,70955397800235.42,2.712643238104397,2.117705920154636e-07,-3.1864821372629137e-06,-0.01202252860176153,5.597598608521564
0.625,53696302597032.74,70955709469244.56,2.7126309534124817,4.509047463567912e-07,-1.5471174052539283e-05,-0.058372407105113946,43.661548365146544
0.7291666666666667,53698829779976.43,70958235921139.53,2.712565954841799,2.233873907022655e-06,-8.046974473518986e-05,-0.30361061696905606,323.4845841726782
0.8333333333333334,53717335068902.05,70976740163471.12,2.7122399084229936,1.4511038710532146e-05,-0.0004065161635407044,-1.5337767458645057,1865.3800685429862
0.9375,53820109398163.07,71079514358248.67,2.7110131197492313,7.426792781264811e-05,-0.0016333048373029513,-6.162424038798248,5520.497874403896
1.0416666666666667,54076252192063.34,71335661324990.2,2.708843495192169,0.00019886191184126945,-0.0038029293943653286,-14.348370850592481,8736.39671346826
1.1458333333333335,54388107681498.39,71647522314524.53,2.706749900671981,0.0003304293926841187,-0.00589652391455342,-22.247457967733208,9482.944799647103
1.25,54692787502882.06,71952206975991.83,2.7049747510736153,0.00044759045584364255,-0.007671673512918975,-28.945059240680337,9089.160946143844
1.3541666666666667,54979041484570.9,72238465191998.36,2.703457907163342,0.0005508125302404891,-0.009188517423192266,-34.668078705441204,8525.723869021762
1.4583333333333335,55247089537631.09,72506517087653.19,2.702134091784694,0.0006428488811920209,-0.010512332801840163,-39.66280567005464,7999.253923957316
1.5625,55499115015834.53,72758546162400.23,2.700957286074289,0.000725997225493147,-0.01168913851224529,-44.10286831676219,7541.043959086657
1.6666666666666667,55737372419487.44,72996807006193.83,2.6998957145759785,0.0008019710016325956,-0.012750710010555721,-48.1081547585104,7147.6084179627715
1.7708333333333335,55963818531620.1,73223256457297.69,2.6989268445607366,0.000872044469123808,-0.01371958002579765,-51.763680497512574,6809.306649784729
1.875,56180081086220.79,73439522284283.89,2.698034187750877,0.0009371819753995194,-0.014612236835657377,-55.13165545101858,6516.67501056989
1.9791666666666667,56387501597324.414,73646946023162.75,2.697205330367575,0.0009981283928811324,-0.01544109421895934,-58.258916539664945,6261.712962628022
2.0833333333333335,56587187648440.516,73846635271553.42,2.6964306946078693,0.0010554702663832544,-0.01621572997866494,-61.18160060812406,6037.9332057379825
2.1875,56780058983552.06,74039509782532.78,2.69570273499593,0.0011096774928808079,-0.016943689590604105,-63.92817657449161,5840.131290332608
2.291666666666667,56966884819266.84,74226338778553.27,2.6950154001546163,0.0011611322757415408,-0.017631024431917997,-66.52147615463036,5664.1285570233085
2.3958333333333335,57148313223729.734,74407770331435.03,2.6943637617730167,0.001210149666837424,-0.018282662813517536,-68.98009375965968,5506.551513191342
2.5,57324894085315.6,74584354331762.34,2.6937437521848753,0.0012569924404061189,-0.018902672401658993,-71.3193766069189,5431.991887626968
