V,n,p,neff_re,neff_im,d_neff,d_phi,C_total_pF_cm
0.0,53522090217084.75,70729986643822.58,2.712646500980493,1.6713706530296152e-07,0.0,0.0,0.6142440501545608
0.10416666666666667,53522110389477.336,70730006406948.97,2.7126464858341253,1.6722217549312894e-07,-1.5146367715601627e-08,-5.669102278364786e-05,0.6262529774950623
0.20833333333333334,53522131335068.74,70730026958414.66,2.712646439782643,1.6748130767455374e-07,-6.11978498987753e-08,-0.00022905615181573102,0.6615711330945931
0.3125,53522153785444.84,70730049036028.16,2.712646283012512,1.685222480944206e-07,-2.1796798099771308e-07,-0.0008158277950771548,0.7520853718582599
0.4166666666666667,53522180590255.52,70730075497971.31,2.7126457074468036,1.73706875325352e-07,-7.93533689424919e-07,-0.0029701006413862395,1.2104352467042077
0.5208333333333334,53522232819978.11,70730127396132.28,2.7126433122886398,2.0569722536403453e-07,-3.1886918532286757e-06,-0.011934888013791948,5.603428847902577
0.625,53522545289393.52,70730439420751.84,2.712631028833002,4.4483575721433017e-07,-1.5472147491202293e-05,-0.05791037708877313,43.71710068976846
0.7291666666666667,53525075755072.21,70732969058566.22,2.712566032058136,2.2277813366041595e-06,-8.04689223570243e-05,-0.30118544567082395,323.8802401804992
0.8333333333333334,53543603620740.26,70751495703221.17,2.7122400124636723,1.4503818601976601e-05,-0.00040648851682068,-1.5214373638001342,1867.4373657926856
0.9375,53646489251784.79,70854381130472.02,2.7110135532878843,7.424287115741466e-05,-0.0016329476926086883,-6.1119257490908785,5526.404158184839
1.0416666666666667,53902904732581.87,71110800878641.33,2.708844739857147,0.00019878494755672685,-0.003801761123345848,-14.22953215638508,8746.476858839416
1.1458333333333335,54215142782511.516,71423044575168.2,2.7067518052812845,0.00033030499542136265,-0.00589469569920853,-22.063133185541314,9495.262224925222
1.25,54520240733086.875,71728147492495.0,2.704977144553966,0.0004474287192013251,-0.007669356426526885,-28.70547368688928,9102.064159596115
1.3541666666666667,54806915380826.555,72014826480817.27,2.7034607081018662,0.0005506187947632666,-0.009185792878626753,-34.38131195188766,8538.533382838648
1.4583333333333335,55075375490605.53,72283290520906.05,2.702137260135617,0.0006426259097821391,-0.010509240844875922,-39.33481765149649,8011.755447338408
1.5625,55327801627752.99,72535720326635.97,2.7009607983055477,0.0007257466838362273,-0.011685702674945286,-43.738172017695796,7553.19839024042
1.6666666666666667,55566448535876.695,72774370734209.6,2.699899553512643,0.0008016941201329116,-0.012746947467849878,-47.71028294641769,7159.438178367536
1.7708333333333335,55793274209650.33,73001199796194.55,2.6989309954267586,0.0008717423144146921,-0.013715505553734353,-51.33547873891151,6820.851863101521
1.875,56009907777594.445,73217836678020.73,2.698038636694891,0.0009368555550345584,-0.014607864285602012,-54.67546956373397,6527.977083721969
1.9791666666666667,56217692049162.71,73425624213091.44,2.697210063966876,0.0009977786913401856,-0.015436437013617077,-57.7767170894643,6272.808937498689
2.0833333333333335,56417735718969.73,73625671111718.44,2.6964356997457424,0.0010550982538475773,-0.016210801234750605,-60.67506872910551,6048.854283154884
2.1875,56610959447039.125,73818898044228.77,2.695707998870837,0.0011092841240171781,-0.016938502109656195,-63.3987651065848,5850.902898020517
2.291666666666667,56798133186100.305,74006074970066.08,2.6950209103263156,0.0011607184855169435,-0.017625590654177348,-65.97045444248475,5674.7709276177775
2.3958333333333335,56979905582862.06,74187850540252.53,2.694369506210505,0.0012097163660820893,-0.018276994769987898,-68.4085812768636,5517.0803822427815
2.5,57156826969634.47,74364775089787.5,2.6937497193045767,0.0012565405120785289,-0.01889678167591624,-70.72836871796724,5442.467421812669
