V,n,p,neff_re,neff_im,d_neff,d_phi,C_total_pF_cm
0.0,52331758685848.44,69006203836976.38,2.7126456224529196,2.3756014871344224e-07,0.0,0.0,0.6224514461803873
0.10416666666666667,52331779141688.375,69006223850265.195,2.7126456068473788,2.37651512275704e-07,-1.5605540859553457e-08,-5.969882496078033e-05,0.6344059118638078
0.20833333333333334,52331800366660.9,69006244648877.8,2.712645560273851,2.3792120457468293e-07,-6.21790685606527e-08,-0.00023786534306206557,0.6695785024118982
0.3125,52331823089956.55,69006266968253.47,2.7126454035014236,2.3898003855391573e-07,-2.189514960448946e-07,-0.000837596540544329,0.7596962044631363
0.4166666666666667,52331850147262.29,69006293652667.36,2.712644830718473,2.441820101261585e-07,-7.917344464480891e-07,-0.0030287714190302822,1.213215432318269
0.5208333333333334,52331902334624.84,69006345479734.12,2.7126424500000557,2.760229801398247e-07,-3.1724528639642813e-06,-0.012136183547024414,5.539987571744368
0.625,52332210754132.984,69006653418354.73,2.712630240050905,5.136689619379733e-07,-1.5382402014818553e-05,-0.05884520976386616,43.14243034793787
0.7291666666666667,52334707960412.94,69009149726262.35,2.712565603755475,2.286784674387233e-06,-8.001869744456158e-05,-0.3061106471941411,320.565730304288
0.8333333333333334,52353053654742.54,69027494141071.23,2.712240913291276,1.4515633394700539e-05,-0.0004047091616437015,-1.5482104477141994,1860.3337546908351
0.9375,52455659784422.63,69130099778094.68,2.711016556974649,7.41828843875033e-05,-0.001629065478270686,-6.231972074033863,5516.591830878839
1.0416666666666667,52711717049091.49,69386161122940.8,2.7088588742287896,0.0001981368624285497,-0.0037867482241300543,-14.486163692589543,8721.25218491298
1.1458333333333335,53022673387718.266,69697123149563.516,2.7067881213599416,0.0003282791170297648,-0.005857501092978001,-22.407806022512904,9451.584644559858
1.25,53326213244223.2,70000668083524.39,2.7050367099334327,0.000443853607806363,-0.007608912519486921,-29.1078111762246,9055.98208932611
1.3541666666666667,53611449814170.33,70285909109148.92,2.7035416665693557,0.0005455589116677259,-0.009103955883563941,-34.82708312610844,8497.775418279929
1.4583333333333335,53878697983170.97,70553161313708.73,2.702237446761505,0.0006361945527571953,-0.010408175691414723,-39.816361659931346,7978.157487362259
1.5625,54130151566134.04,70804618658834.56,2.7010782562027766,0.0007180585264117133,-0.011567366250142985,-44.250832395967585,7526.745781927935
1.6666666666666667,54368051104937.766,71042521779782.55,2.7000325996496857,0.0007928538809835246,-0.012613022803233953,-48.25098004185039,7139.58564206368
1.7708333333333335,54594333343234.36,71268807479319.3,2.6990781934323107,0.0008618429517229735,-0.013567429020608923,-51.90205053183398,6806.939745948988
1.875,54810605771599.305,71485083286031.78,2.698198755675676,0.0009259790490691019,-0.014446866777243716,-55.266329999604,6519.366473775354
1.9791666666666667,55018191297124.625,71692672131833.05,2.6973820410649427,0.000985997427821669,-0.015263581387976899,-58.39066276242676,6268.9222083644845
2.0833333333333335,55218180961219.1,71892665074501.19,2.696618609479421,0.0010424764126225313,-0.01602701297349851,-61.311161898199096,6049.181964138699
2.1875,55411479952906.41,72085967313894.98,2.6959010287616723,0.0010958789061515364,-0.016744593691247367,-64.0562590434797,5854.998689986668
2.291666666666667,55598844678963.45,72273335263959.8,2.695223341637344,0.0011465811501908698,-0.017422280815575508,-66.64874368579655,5682.243246452227
2.3958333333333335,55780911872505.73,72455405662515.88,2.6945806986763308,0.001194893092276783,-0.01806492377658886,-69.10716726669584,5527.583725517524
2.5,55958221315981.59,72632718295041.52,2.6939690989423077,0.0012410731112567194,-0.018676523510611887,-71.44683532409282,5454.40514545626
