V,n,p,neff_re,neff_im,d_neff,d_phi,C_total_pF_cm
0.0,53637943334690.0,70884404665826.48,2.7126464215455424,1.7344009350913736e-07,0.0,0.0,0.6151263907418735
0.10416666666666667,53637963526429.59,70884424466971.88,2.71264640644355,1.735256724372849e-07,-1.510199254539657e-08,-5.701483051217487e-05,0.6271405359544076
0.20833333333333334,53637984492088.75,70884445056414.31,2.7126463605408233,1.7378563467799758e-07,-6.100471905412519e-08,-0.00023031223905444308,0.6624675817407024
0.3125,53638006963279.27,70884467171735.4,2.7126462041419876,1.748284060351e-07,-2.174035547142239e-07,-0.0008207676429130642,0.7529779604058219
0.4166666666666667,53638033789027.33,70884493670283.75,2.7126456289862633,1.8001813971791508e-07,-7.925592790947178e-07,-0.0029921636388445345,1.2108804790697232
0.5208333333333334,53638086011235.33,70884545576310.95,2.7126432330484156,2.120137062059325e-07,-3.1884971267714945e-06,-0.01203759190881388,5.59699517195002
0.625,53638398050379.234,70884857194270.23,2.7126309480151716,4.511356763511233e-07,-1.547353037079091e-05,-0.058417504105082806,43.657999110275966
0.7291666666666667,53640925058131.01,70887383441879.88,2.712565950291842,2.234111156959797e-06,-8.047125370014285e-05,-0.30380460571836343,323.47555383882445
0.8333333333333334,53659429966627.67,70905887269890.38,2.7122398978725504,1.4511568272046338e-05,-0.00040652367299198744,-1.5347563074973245,1865.5230429272847
0.9375,53762214003553.81,71008671142917.81,2.7110130687005376,7.427074939455541e-05,-0.0016333528450047652,-6.166427068785173,5521.108287528362
1.0416666666666667,54018386792164.56,71264848101931.03,2.7088435525684766,0.00019885858404911988,-0.003802868977065721,-14.357041266948677,8737.28259731291
1.1458333333333335,54330269880947.78,71576736697886.47,2.7067502500623384,0.0003304069832738991,-0.005896171483203982,-22.2599247599328,9483.769058045184
1.25,54634975692214.0,71881447343207.86,2.7049754167315974,0.0004475459887298216,-0.007671004813945004,-28.960485711434778,9089.996218759823
1.3541666666666667,54921257998899.375,72167733872181.73,2.7034588704808575,0.0005507464774695219,-0.009187551064684829,-34.685930694266666,8526.655701600728
1.4583333333333335,55189338324515.11,72435818024848.64,2.7021353273751316,0.0006427625487700131,-0.01051109417041074,-39.68272735018362,8000.311591001947
1.5625,55441400312275.46,72687883590439.36,2.7009587693424666,0.0007258920718653507,-0.011687652203075771,-44.124608553507514,7542.228249985579
1.6666666666666667,55679698224168.03,72926184920642.94,2.6998974233057327,0.0008018484393570545,-0.012748998239809683,-48.1315277873273,7148.909641998315
1.7708333333333335,55906188451341.91,73152678462090.23,2.69892875902534,0.000871905809022224,-0.013717662520202456,-51.78854387999029,6810.712625619076
1.875,56122498327318.375,73368991583377.48,2.6980362904564354,0.000937028417074044,-0.014610131089106915,-55.157896900167856,6518.174019832555
1.9791666666666667,56329969004166.54,73576465459167.05,2.697207605738337,0.000997961030435672,-0.015438815807205408,-58.286445574019304,6263.294614038681
2.0833333333333335,56529707751142.37,73776207373452.27,2.696433128697694,0.0010552900985409106,-0.016213292847848226,-61.21034300510902,6039.588511002722
2.1875,56722634041515.82,73969136809141.61,2.695705315244103,0.0011094854336421772,-0.0169411063014393,-63.95807053683958,5841.852475737774
2.291666666666667,56909516856709.984,74156022753926.48,2.695018115184436,0.0011609291642578116,-0.01762830636110646,-66.55246957472168,5665.908815800889
2.3958333333333335,57091004057134.28,74337513072214.39,2.6943666012269114,0.0012099362761094075,-0.018279820318630957,-69.01214221413763,5508.384777494442
2.5,57267645344101.54,74514157467788.84,2.693746706589249,0.0012567694847964667,-0.0188997149562935,-71.35244185310873,5433.8502171066875
