sim_id,w_r,h_si,doping,S,lambda,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,cost,kappa
3.000000e+00,4.478000e-07,1.200000e-07,4.843000e+19,7.919000e-07,1.291000e-06,8.596000e-04,,2.149000e+00,9.275619e+04,,9.900506e-01,1.827442e+02
4.000000e+00,3.740000e-07,1.000000e-07,5.989000e+19,1.984000e-07,1.340000e-06,1.772000e-04,1.063832e+00,1.885110e-01,8.146723e+01,1.141436e+04,1.293615e+01,5.002557e+00
5.000000e+00,4.630000e-07,1.200000e-07,1.539000e+19,7.086000e-07,1.327000e-06,3.419000e-04,,8.547500e-01,7.834987e+04,,2.897207e+00,3.690617e+01
6.000000e+00,4.795000e-07,9.000000e-08,8.401000e+18,5.408000e-07,1.288000e-06,2.368000e-04,1.025189e+00,2.427648e-01,5.544128e+01,1.213118e+04,1.945821e+01,2.346556e+00
7.000000e+00,4.608000e-07,1.000000e-07,8.831000e+19,9.832000e-08,1.335000e-06,2.791000e-04,9.703173e-01,2.708156e-01,4.861566e+01,7.867117e+03,2.062302e+01,1.823951e+00
8.000000e+00,4.137000e-07,7.000000e-08,2.203000e+19,2.256000e-07,1.314000e-06,6.464000e-04,8.770732e-01,5.669401e-01,1.806623e+01,4.094408e+03,4.994892e+01,4.697862e-01
9.000000e+00,3.566000e-07,1.100000e-07,7.283000e+19,3.779000e-07,1.349000e-06,6.704000e-04,,1.676000e+00,6.557926e+04,,1.851296e+00,8.813611e+01
1.000000e+01,3.505000e-07,9.000000e-08,3.741000e+19,8.776000e-08,1.330000e-06,8.666000e-04,8.650670e-01,7.496671e-01,1.966946e+01,3.697874e+03,3.866175e+01,6.835663e-01
1.100000e+01,4.391000e-07,1.300000e-07,5.608000e+19,3.381000e-07,1.357000e-06,4.441000e-04,1.991644e+00,8.844891e-01,1.040182e+04,1.388824e+04,5.958724e+00,8.114895e+04
1.200000e+01,3.767000e-07,1.300000e-07,4.026000e+19,4.943000e-08,1.333000e-06,5.428000e-04,1.874010e+00,1.017213e+00,1.036801e+04,1.419132e+04,7.155079e+00,8.062238e+04
